COMMON_NAME_ebird,SCIENTIFIC_NAME_ebird,COMMON_NAME_traits,SCIENTIFIC_NAME_traits,SCIENTIFIC_NAME_tree,COMMON_NAME_tree
White-plumed Honeyeater,Ptilotula penicillata,White-plumed Honeyeater,Ptilotula_penicillatus,Lichenostomus_penicillatus,White-plumed Honeyeater
Silver Gull,Chroicocephalus novaehollandiae,Silver Gull,Chroicocephalus_novaehollandiae,Larus_novaehollandiae,Silver Gull
Galah,Eolophus roseicapilla,Galah,Eolophus_roseicapillus,Cacatua_roseicapilla,Galah
Yellow-faced Honeyeater,Caligavis chrysops,Yellow-faced Honeyeater,Caligavis_chrysops,Lichenostomus_chrysops,Yellow-faced Honeyeater
Fairy Martin,Petrochelidon ariel,Fairy Martin,Petrochelidon_ariel,Hirundo_ariel,Fairy Martin
Spotted Dove,Streptopelia chinensis,Spotted Dove,Streptopelia_chinensis,Stigmatopelia_chinensis,Spotted Dove
Little Pied Cormorant,Microcarbo melanoleucos,Little Pied Cormorant,Microcarbo_melanoleucos,Phalacrocorax_melanoleucos,Little Pied Cormorant
White-eared Honeyeater,Nesoptilotis leucotis,White-eared Honeyeater,Nesoptilotis_leucotis,Lichenostomus_leucotis,White-eared Honeyeater
Intermediate Egret,Ardea intermedia,Intermediate Egret,Ardea_intermedia,Mesophoyx_intermedia,Intermediate Egret
Tawny Grassbird,Megalurus timoriensis,Tawny Grassbird,Cincloramphus_timoriensis,Megalurus_timoriensis,Tawny Grassbird
Black-tailed Nativehen,Tribonyx ventralis,Black-tailed Native-hen,Tribonyx_ventralis,Gallinula_ventralis,Black-tailed Native-hen
Buff-banded Rail,Gallirallus philippensis,Buff-banded Rail,Hypotaenidia_philippensis,Gallirallus_philippensis,Buff-banded Rail
Great Egret,Ardea alba,Great Egret,Ardea_alba,Casmerodius_albus,Great Egret
Hooded Plover,Thinornis cucullatus,Hooded Plover,Thinornis_cucullatus,Thinornis_rubricollis,Hooded Plover
Little Grassbird,Megalurus gramineus,Little Grassbird,Poodytes_gramineus,Megalurus_gramineus,Little Grassbird
Spotless Crake,Zapornia tabuensis,Spotless Crake,Zapornia_tabuensis,Porzana_tabuensis,Spotless Crake
Singing Honeyeater,Gavicalis virescens,Singing Honeyeater,Gavicalis_virescens,Lichenostomus_virescens,Singing Honeyeater
Tree Martin,Petrochelidon nigricans,Tree Martin,Petrochelidon_nigricans,Hirundo_nigricans,Tree Martin
Shy Heathwren,Hylacola cauta,Shy Heathwren,Calamanthus_cauta,Hylacola_cauta,Shy Heathwren
Tasmanian Nativehen,Tribonyx mortierii,Tasmanian Native-hen,Tribonyx_mortierii,Gallinula_mortierii,Tasmanian Native-hen
Pallid Cuckoo,Cacomantis pallidus,Pallid Cuckoo,Heteroscenes_pallidus,Cuculus_pallidus,Pallid Cuckoo
Yellow-throated Honeyeater,Nesoptilotis flavicollis,Yellow-throated Honeyeater,Nesoptilotis_flavicollis,Lichenostomus_flavicollis,Yellow-throated Honeyeater
Australian Shoveler,Spatula rhynchotis,Australasian Shoveler,Spatula_rhynchotis,Anas_rhynchotis,Australasian Shoveler
Scrubtit,Acanthornis magna,Scrubtit,Acanthornis_magnus,Acanthornis_magna,Scrubtit
Australian Swiftlet,Aerodramus terraereginae,Australian Swiftlet,Aerodramus_terraereginae,Collocalia_terraereginae,Australian Swiftlet
Black Butcherbird,Cracticus quoyi,Black Butcherbird,Melloria_quoyi,Cracticus_quoyi,Black Butcherbird
Large-billed Scrubwren,Sericornis magnirostra,Large-billed Scrubwren,Sericornis_magnirostris,Sericornis_magnirostra,Large-billed Scrubwren
Spectacled Monarch,Symposiachrus trivirgatus,Spectacled Monarch,Symposiarchus_trivirgatus,Monarcha_trivirgatus,Spectacled Monarch
Brolga,Antigone rubicunda,Brolga,Antigone_rubicunda,Grus_rubicunda,Brolga
Speckled Warbler,Pyrrholaemus sagittatus,Speckled Warbler,Pyrrholaemus_sagittata,Chthonicola_sagittatus,Speckled Warbler
Spotted Bowerbird,Chlamydera maculata,Spotted Bowerbird,Ptilonorhynchus_maculatus,Chlamydera_maculata,Spotted Bowerbird
Paradise Riflebird,Ptiloris paradiseus,Paradise Riflebird,Lophorina_paradiseus,Ptiloris_paradiseus,Paradise Riflebird
Azure Kingfisher,Ceyx azureus,Azure Kingfisher,Ceyx_azureus,Alcedo_azurea,Azure Kingfisher
Brown Quail,Synoicus ypsilophorus,Brown Quail,Synoicus_ypsilophora,Coturnix_ypsilophora,Brown Quail
Mangrove Honeyeater,Gavicalis fasciogularis,Mangrove Honeyeater,Gavicalis_fasciogularis,Lichenostomus_fasciogularis,Mangrove Honeyeater
Caspian Tern,Hydroprogne caspia,Caspian Tern,Hydroprogne_caspia,Sterna_caspia,Caspian Tern
Little Tern,Sternula albifrons,Little Tern,Sternula_albifrons,Sterna_albifrons,Little Tern
Olive-backed Sunbird,Cinnyris jugularis,Olive-backed Sunbird,Cinnyris_jugularis,Nectarinia_jugularis,Olive-backed Sunbird
Gray-tailed Tattler,Tringa brevipes,Grey-tailed Tattler,Tringa_brevipes,Heteroscelus_brevipes,Grey-tailed Tattler
Broad-billed Sandpiper,Calidris falcinellus,Broad-billed Sandpiper,Calidris_falcinellus,Limicola_falcinellus,Broad-billed Sandpiper
White-breasted Robin,Eopsaltria georgiana,White-breasted Robin,Quoyornis_georgiana,Eopsaltria_georgiana,White-breasted Robin
Tawny-crowned Honeyeater,Gliciphila melanops,Tawny-crowned Honeyeater,Glyciphila_melanops,Phylidonyris_melanops,Tawny-crowned Honeyeater
Mulga Parrot,Psephotus varius,Mulga Parrot,Psephotellus_varius,Psephotus_varius,Mulga Parrot
White-fronted Honeyeater,Purnella albifrons,White-fronted Honeyeater,Purnella_albifrons,Phylidonyris_albifrons,White-fronted Honeyeater
Yellow-plumed Honeyeater,Ptilotula ornata,Yellow-plumed Honeyeater,Ptilotula_ornatus,Lichenostomus_ornatus,Yellow-plumed Honeyeater
Radjah Shelduck,Tadorna radjah,Radjah Shelduck,Radjah_radjah,Tadorna_radjah,Radjah Shelduck
Fuscous Honeyeater,Ptilotula fusca,Fuscous Honeyeater,Ptilotula_fuscus,Lichenostomus_fuscus,Fuscous Honeyeater
Little Kingfisher,Ceyx pusillus,Little Kingfisher,Ceyx_pusilla,Alcedo_pusilla,Little Kingfisher
Yellow Honeyeater,Stomiopera flava,Yellow Honeyeater,Stomiopera_flavus,Lichenostomus_flavus,Yellow Honeyeater
Macleay's Honeyeater,Xanthotis macleayanus,Macleay's Honeyeater,Xanthotis_macleayana,Xanthotis_macleayanus,Macleay's Honeyeater
Victoria's Riflebird,Ptiloris victoriae,Victoria's Riflebird,Lophorina_victoriae,Ptiloris_victoriae,Victoria's Riflebird
Bridled Honeyeater,Bolemoreus frenatus,Bridled Honeyeater,Bolemoreus_frenatus,Lichenostomus_frenatus,Bridled Honeyeater
Gray-headed Honeyeater,Ptilotula keartlandi,Grey-headed Honeyeater,Ptilotula_keartlandi,Lichenostomus_keartlandi,Grey-headed Honeyeater
Gray-fronted Honeyeater,Ptilotula plumula,Grey-fronted Honeyeater,Ptilotula_plumulus,Lichenostomus_plumulus,Grey-fronted Honeyeater
Black Honeyeater,Sugomel nigrum,Black Honeyeater,Sugomel_niger,Certhionyx_niger,Black Honeyeater
Western Bowerbird,Chlamydera guttata,Western Bowerbird,Ptilonorhynchus_guttatus,Chlamydera_guttata,Western Bowerbird
